"ID_CLIENTE";"TIPO_EXTRACCION";"FECHA_ENCUESTA";"ID_PREFERENCIAS"
"2170-19";"RISK_WEB";2024-09-15;"LOC35;LOC19;LOC50;EXT97;LOC4;LOC5;LOC17;LOC7;LOC12;LOC9"
"2122-58";"RISK_WEB";2024-01-10;"EXT6;LOC10;EXT13;LOC13"
"9619-75";"RISK_WEB";2024-12-11;"LOC5;LOC4;LOC6;LOC13;EXT18;EXT3;LOC35;LOC47;LOC19;LOC22"
"9960-16";"RISK_WEB";2024-05-11;"LOC49;LOC8;LOC20;EXT17;LOC12;LOC2;LOC6;LOC22;LOC42;EXT1"
"7073-34";"RISK_WEB";2025-08-08;"LOC14;EXT4;EXT55;EXT5;LOC2;LOC7;LOC13;EXT19;LOC36"
"6733-57";"RISK_WEB";2024-11-27;"LOC14;LOC8;LOC11;LOC5;LOC4;LOC9;EXT41;LOC36;LOC23;LOC19"
"3868-96";"RISK_WEB";2024-09-09;"LOC8;LOC44;LOC11;LOC46;EXT9;LOC3;LOC26;LOC20;LOC1;EXT11"
"1785-32";"RISK_WEB";2024-07-27;"LOC21;LOC15;EXT10;LOC8;EXT9;EXT13;LOC6;LOC18;LOC26;LOC3"
"4597-63";"RISK_WEB";2025-01-31;"EXT5;EXT7;EXT20;EXT2;LOC47;LOC16;EXT47;LOC8;EXT19;EXT8"
"3709-92";"RISK_WEB";2025-09-01;"LOC10;LOC6;LOC26;LOC16;LOC9;LOC42;LOC34;LOC17;LOC8;LOC14"
"9161-43";"RISK_WEB";2025-02-13;"LOC19;EXT10;EXT17;EXT5;LOC9"
"7472-11";"RISK_WEB";2024-03-21;"LOC30;EXT63;LOC6;LOC14;LOC2;LOC47;LOC16;LOC9;LOC11;LOC3"
"6638-57";"RISK_WEB";2025-10-25;"LOC29;LOC7;EXT40;LOC18;LOC12;LOC14;LOC3;LOC10;LOC5;LOC48"
"2663-51";"RISK_WEB";2024-12-21;"LOC6;LOC47;LOC49;LOC5;LOC13;LOC19;LOC10;LOC44;EXT2;EXT11"
"1739-54";"RISK_WEB";2025-08-28;"LOC20;EXT13;EXT5;LOC14;EXT1;EXT68;LOC44;LOC3;LOC4;LOC50"
"9407-60";"RISK_WEB";2024-12-20;"LOC6;LOC14;EXT60;LOC50"
"5788-92";"RISK_WEB";2025-06-15;"EXT15;LOC8;LOC46;LOC2;EXT7;LOC1;LOC24;LOC15;LOC17;LOC25"
"9443-60";"RISK_WEB";2025-02-14;"LOC7;LOC16;LOC49;LOC45;LOC3;LOC19;LOC4;LOC33;LOC1;LOC18"
"8019-99";"RISK_WEB";2025-03-13;"EXT9;LOC6;EXT17;LOC32;EXT40;LOC15;EXT5;EXT8;EXT11"
"9853-87";"RISK_WEB";2024-12-30;"EXT2;EXT1;LOC26;LOC4;EXT18;EXT76;EXT14;EXT5;EXT3;LOC16"
"5188-13";"RISK_WEB";2024-11-18;"LOC4;LOC29;LOC35;EXT11;LOC18;LOC10;LOC1;LOC20;EXT7;LOC43"
"9061-85";"RISK_WEB";2025-12-12;"LOC6;LOC21;LOC16;LOC3;LOC14;LOC42;LOC49;LOC17;LOC2;LOC9"
"1512-30";"RISK_WEB";2024-01-01;"LOC1;EXT79;LOC6;LOC11;LOC14;LOC34;LOC33;LOC9;LOC5;LOC12"
"3441-45";"RISK_WEB";2025-08-20;"EXT20;LOC9;LOC31;EXT4;LOC38;LOC17;LOC20;LOC8"
