"ID_EMPRESA";"NEMO";"NAME";"CATEGORY";"PRECIO_ULT"
"LOC1";"ITAUCL.SN";"Itaú CorpBanca";"LOCAL";23761
"LOC2";"LTM.SN";"Latam Airlines";"LOCAL";27,8899993896484
"LOC3";"SQM-B.SN";"SQM B (Soquimich B)";"LOCAL";73500
"LOC4";"FALABELLA.SN";"Falabella";"LOCAL";6535
"LOC5";"CHILE.SN";"Banco de Chile";"LOCAL";191
"LOC6";"CENCOSUD.SN";"Cencosud";"LOCAL";2980
"LOC7";"BSANTANDER.SN";"Banco Santander Chile";"LOCAL";78,3000030517578
"LOC8";"COPEC.SN";"Empresas Copec";"LOCAL";7765
"LOC9";"MALLPLAZA.SN";"Mall Plaza";"LOCAL";3850
"LOC10";"ENELCHILE.SN";"Enel Chile";"LOCAL";77
"LOC11";"BCI.SN";"Banco de Crédito e Inversiones";"LOCAL";64200
"LOC12";"CCU.SN";"Cervecerías (CCU)";"LOCAL";6585
"LOC13";"CMPC.SN";"Empresas CMPC";"LOCAL";1290
"LOC14";"ENELAM.SN";"Enel Américas";"LOCAL";84,8000030517578
"LOC15";"VAPORES.SN";"Vapores (CSAV)";"LOCAL";47,7000007629395
"LOC16";"ANDINA-B.SN";"Embotelladora Andina B";"LOCAL";4405
"LOC17";"AGUAS-A.SN";"Aguas Andinas";"LOCAL";380
"LOC18";"PARAUCO.SN";"Parque Arauco";"LOCAL";3850
"LOC19";"SMU.SN";"SMU";"LOCAL";164,5
"LOC20";"COLBUN.SN";"Colbún";"LOCAL";147,960006713867
"LOC21";"CAP.SN";"CAP";"LOCAL";8250
"LOC22";"CONCHATORO.SN";"Viña Concha y Toro";"LOCAL";1020
"LOC23";"ENTEL.SN";"Entel";"LOCAL";4919,5
"LOC24";"QUINENCO.SN";"Quiñenco";"LOCAL";4530
"LOC25";"RIPLEY.SN";"Ripley Corp";"LOCAL";423,5
"LOC26";"ECL.SN";"Engie Energía Chile";"LOCAL";1619,90002441406
"LOC27";"CENCOMALLS.SN";"Cencosud Shopping";"LOCAL";2710
"LOC28";"SALFACORP.SN";"Salfacorp";"LOCAL";1350
"LOC29";"ILC.SN";"Inversiones La Construcción";"LOCAL";22000
"LOC30";"IAM.SN";"Inversiones Aguas Metropolitanas";"LOCAL";1114
"LOC31";"ORO-BLANCO.SN";"Oro Blanco";"LOCAL";10,3699998855591
"LOC32";"SONDA.SN";"Sonda";"LOCAL";338,489990234375
"LOC33";"ANDINA-A.SN";"Embotelladora Andina A";"LOCAL";3599,5
"LOC34";"EMBONOR-B.SN";"Embonor B";"LOCAL";1558,59997558594
"LOC35";"ENELGXCH.SN";"Enel Generación Chile";"LOCAL";517
"LOC36";"HABITAT.SN";"AFP Habitat";"LOCAL";1502,19995117188
"LOC37";"AAISA.SN";"Americana de Inversiones";"LOCAL";439,850006103516
"LOC38";"MASISA.SN";"Masisa";"LOCAL";17,75
"LOC39";"ZOFRI.SN";"Zofri";"LOCAL";1091
"LOC40";"SQM-A.SN";"SQM A (Soquimich A)";"LOCAL";69526
"LOC41";"INVERCAP.SN";"Invercap";"LOCAL";2271,69995117188
"LOC42";"SOQUICOM.SN";"SQM Comercial";"LOCAL";385
"LOC43";"PROVIDA.SN";"AFP Provida";"LOCAL";5839
"LOC44";"ABC.SN";"ABC";"LOCAL";15,6899995803833
"LOC45";"NITRATOS.SN";"Nitratos de Chile";"LOCAL";5,07999992370605
"LOC46";"SOCOVESA.SN";"Socovesa";"LOCAL";155,979995727539
"LOC47";"ANTARCHILE.SN";"Antar Chile";"LOCAL";8816
"LOC48";"LAS-CONDES.SN";"Clinica Las Condes";"LOCAL";13898
"LOC49";"HITES.SN";"Hites";"LOCAL";123
"LOC50";"BESALCO.SN";"Besalco";"LOCAL";1398,69995117188
"LOC51";"ALMENDRAL.SN";"Almendral";"LOCAL";30,5
"LOC52";"NORTEGRAN.SN";"Norte Grande";"LOCAL";14
"LOC53";"MINERA.SN";"Minera Valparaiso";"LOCAL";13989
"LOC54";"FORUS.SN";"Forus";"LOCAL";2433,19995117188
"LOC55";"SK.SN";"Sigdo Koppers";"LOCAL";1664,59997558594
"LOC56";"MANQUEHUE.SN";"Inmobiliaria Manquehue";"LOCAL";129,699996948242
"LOC57";"INGEVEC.SN";"Ingevec";"LOCAL";200,440002441406
"LOC58";"PUCOBRE.SN";"Punta del Cobre";"LOCAL";19750
"LOC59";"EISA.SN";"Echeverría Izquierdo";"LOCAL";468,489990234375
"LOC60";"BANVIDA.SN";"Isapre Banvida";"LOCAL";751,039978027344
"LOC61";"MULTI-X.SN";"Multiexport Foods";"LOCAL";346
"LOC62";"ENAEX.SN";"Enaex";"LOCAL";24605
"LOC63";"WATTS.SN";"Watts";"LOCAL";740
"LOC64";"INDISA.SN";"Clinica Indisa";"LOCAL";2771,19995117188
"LOC65";"PAZ.SN";"Paz Corp";"LOCAL";845,659973144531
"LOC66";"CAMANCHACA.SN";"Pesquera Camanchaca";"LOCAL";94,0199966430664
"LOC67";"TRICOT.SN";"Empresas Tricot";"LOCAL";650
"EXT1";"NVDA";"NVIDIA";"EXTANJERA";186,470001220703
"EXT2";"TSLA";"Tesla";"EXTANJERA";435,200012207031
"EXT3";"INTC";"Intel Corporation";"EXTANJERA";42,4900016784668
"EXT4";"F";"Ford Motor";"EXTANJERA";13,4399995803833
"EXT5";"AAPL";"Apple Inc.";"EXTANJERA";255,410003662109
"EXT6";"AMD";"Advanced Micro Devices";"EXTANJERA";251,309997558594
"EXT7";"AMZN";"Amazon.com Inc.";"EXTANJERA";238,419998168945
"EXT8";"PFE";"Pfizer";"EXTANJERA";25,8799991607666
"EXT9";"BAC";"Bank of America";"EXTANJERA";52,0200004577637
"EXT10";"T";"AT&T";"EXTANJERA";23,4500007629395
"EXT11";"NFLX";"Netflix";"EXTANJERA";85,6999969482422
"EXT12";"WBD";"Warner Bros. Discovery";"EXTANJERA";28,2399997711182
"EXT13";"GOOGL";"Alphabet Inc. (Class A)";"EXTANJERA";333,260009765625
"EXT14";"AVGO";"Broadcom Inc.";"EXTANJERA";324,850006103516
"EXT15";"CCL";"Carnival Corporation";"EXTANJERA";28,6700000762939
"EXT16";"CMCSA";"Comcast Corp.";"EXTANJERA";29,4300003051758
"EXT17";"MU";"Micron Technology";"EXTANJERA";389,089996337891
"EXT18";"MSFT";"Microsoft Corporation";"EXTANJERA";470,279998779297
"EXT19";"HBAN";"Huntington Bancshares";"EXTANJERA";17,3400001525879
"EXT20";"GOOG";"Alphabet Inc. (Class C)";"EXTANJERA";333,589996337891
"EXT21";"VZ";"Verizon Communications";"EXTANJERA";39,6199989318848
"EXT22";"CSCO";"Cisco Systems";"EXTANJERA";77,0100021362305
"EXT23";"WMT";"Walmart Inc.";"EXTANJERA";117,639999389648
"EXT24";"WFC";"Wells Fargo";"EXTANJERA";88,0500030517578
"EXT25";"KO";"Coca-Cola Company";"EXTANJERA";72,5599975585938
"EXT26";"KEY";"KeyCorp";"EXTANJERA";21,2900009155273
"EXT27";"C";"Citigroup";"EXTANJERA";114,819999694824
"EXT28";"META";"Meta Platforms";"EXTANJERA";672,359985351562
"EXT29";"KMI";"Kinder Morgan";"EXTANJERA";29,3400001525879
"EXT30";"CMG";"Chipotle Mexican Grill";"EXTANJERA";39,7200012207031
"EXT31";"BMY";"Bristol Myers Squibb";"EXTANJERA";54,5999984741211
"EXT32";"SLB";"SLB";"EXTANJERA";49,7000007629395
"EXT33";"CSX";"CSX Corporation";"EXTANJERA";37,4700012207031
"EXT34";"NCLH";"Norwegian Cruise Line Holdings";"EXTANJERA";20,7900009155273
"EXT35";"NKE";"Nike Inc.";"EXTANJERA";64,9899978637695
"EXT36";"PYPL";"PayPal Holdings";"EXTANJERA";56,5999984741211
"EXT37";"MRK";"Merck & Co.";"EXTANJERA";107,400001525879
"EXT38";"GM";"General Motors";"EXTANJERA";79,4300003051758
"EXT39";"LRCX";"Lam Research";"EXTANJERA";222,869995117188
"EXT40";"NEE";"NextEra Energy";"EXTANJERA";85,4700012207031
"EXT41";"NEM";"Newmont";"EXTANJERA";125,919998168945
"EXT42";"AES";"AES Corporation";"EXTANJERA";14,6199998855591
"EXT43";"HAL";"Halliburton";"EXTANJERA";34,1599998474121
"EXT44";"KHC";"Kraft Heinz";"EXTANJERA";23,5799999237061
"EXT45";"OXY";"Occidental Petroleum";"EXTANJERA";43,9199981689453
"EXT46";"ORCL";"Oracle";"EXTANJERA";182,440002441406
"EXT47";"SBUX";"Starbucks";"EXTANJERA";96,3300018310547
"EXT48";"CVS";"CVS Health";"EXTANJERA";83,870002746582
"EXT49";"DIS";"Walt Disney Company";"EXTANJERA";111,309997558594
"EXT50";"RF";"Regions Financial";"EXTANJERA";27,7399997711182
"EXT51";"LUV";"Southwest Airlines";"EXTANJERA";42,0299987792969
"EXT52";"VTRS";"Viatris";"EXTANJERA";13,1700000762939
"EXT53";"JPM";"JPMorgan Chase & Co.";"EXTANJERA";301,040008544922
"EXT54";"DAL";"Delta Air Lines";"EXTANJERA";67,5
"EXT55";"USB";"U.S. Bancorp";"EXTANJERA";55,8300018310547
"EXT56";"MO";"Altria Group";"EXTANJERA";62,9799995422363
"EXT57";"ANET";"Arista Networks";"EXTANJERA";143,720001220703
"EXT58";"QCOM";"Qualcomm";"EXTANJERA";154,520004272461
"EXT59";"SCHW";"Charles Schwab";"EXTANJERA";102,940002441406
"EXT60";"CVX";"Chevron Corporation";"EXTANJERA";167,5
"EXT61";"HPQ";"HP Inc.";"EXTANJERA";19,4599990844727
"EXT62";"TFC";"Truist Financial";"EXTANJERA";50,189998626709
"EXT63";"DVN";"Devon Energy";"EXTANJERA";38,6300010681152
"EXT64";"JNJ";"Johnson & Johnson";"EXTANJERA";221,490005493164
"EXT65";"BA";"Boeing Company";"EXTANJERA";248,429992675781
"EXT66";"ON";"ON Semiconductor";"EXTANJERA";61,1300010681152
"EXT67";"MDLZ";"Mondelez International";"EXTANJERA";58,5299987792969
"EXT68";"WDC";"Western Digital";"EXTANJERA";240,850006103516
"EXT69";"MCHP";"Microchip Technology";"EXTANJERA";74,7900009155273
"EXT70";"EQT";"EQT Corporation";"EXTANJERA";56,4099998474121
"EXT71";"HST";"Host Hotels & Resorts";"EXTANJERA";18,7299995422363
"EXT72";"MRNA";"Moderna Inc.";"EXTANJERA";47,9900016784668
"EXT73";"DOW";"Dow Inc.";"EXTANJERA";28,1800003051758
"EXT74";"PG";"Procter & Gamble";"EXTANJERA";149,490005493164
"EXT75";"APH";"Amphenol";"EXTANJERA";155,559997558594
"EXT76";"GILD";"Gilead Sciences";"EXTANJERA";137,779998779297
"EXT77";"BKR";"Baker Hughes";"EXTANJERA";56,2900009155273
"EXT78";"VFC";"VF Corporation";"EXTANJERA";20,0100002288818
"EXT79";"UAL";"United Airlines Holdings";"EXTANJERA";107,76000213623
"EXT80";"BSX";"Boston Scientific";"EXTANJERA";93,5500030517578
"EXT81";"WMB";"Williams Companies";"EXTANJERA";64,2900009155273
"EXT82";"NOW";"ServiceNow";"EXTANJERA";136,339996337891
"EXT83";"EXC";"Exelon Corporation";"EXTANJERA";44,5499992370605
"EXT84";"MDT";"Medtronic";"EXTANJERA";100,669998168945
